"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"Lrp5"	1.39753734214694	0.519540472227146	17.202317403378	3.36026197937777e-05	0.00262184440940951
"Cd63"	1.39094358871558	0.714621529823749	10.7484569237373	0.0010436630392025	0.0298832325261559
"Lingo1"	1.38684871090008	-0.501254897220643	12.5436738393107	0.000397549909144026	0.0157555970341397
"Slc7a8"	1.38603954858107	0.284852966149649	10.4682474692414	0.00121443872587103	0.0333055489880348
"Otx1"	1.36984511939184	-0.74731363452551	10.2798111570803	0.00134493711496767	0.0354223522009629
"Id2"	1.34699534330379	2.38338494103814	29.2626361665127	6.32027149099047e-08	2.19172970259792e-05
"Ephb6"	1.33409798022676	-1.10426550237516	11.4454139549048	0.000716706649726983	0.0235456995136622
"Mrc1"	1.32966254836494	2.24182446227698	9.59026568807257	0.00195611638919515	0.0451389223710023
"Gpnmb"	1.32643353036215	3.67165000701963	9.69963375220679	0.00184304741238542	0.0433307041360067
"Apobr"	1.32538789896269	-1.36148472508438	9.27287525482013	0.00232572322049183	0.0499730269959036
"Sort1"	1.31437374063295	0.35892952085865	21.4291319296486	3.67150169088484e-06	0.000477448199052149
"Nostrin"	1.29402177651178	-0.359833295485778	9.55155211140858	0.00199780416545956	0.0456787311384564
"Fam20c"	1.29241311540603	0.768750658823381	15.9162227722775	6.62087830537562e-05	0.00449212199806029
"LOC115489002"	1.25908640209364	-0.98519059474774	9.50918084426623	0.00204446408933222	0.0461059159238703
"Mmp25"	1.25707312049078	1.01233449799149	12.8870555216796	0.000330862557275661	0.0141455074144841
"Nrp1"	1.25660930196856	0.16333454835084	12.7947385957357	0.00034759554955273	0.0144043387303838
"Itpripl2"	1.24874864213884	0.913208008261468	11.6208878952795	0.000652152615868072	0.0221108336612591
"Cish"	1.23818180154711	3.10766280763663	28.9554659094555	7.4061535891647e-08	2.37072875402903e-05
"Cttnbp2nl"	1.23101758618915	-0.608170104218324	9.34929554791804	0.00223071195268603	0.0484316661170997
"Nr1h3"	1.21237860634488	0.603778875380274	9.5011607864992	0.00205341951727586	0.0461059159238703
"Cables1"	1.20317584649163	0.0433431001539689	13.8992067913395	0.000192879851665556	0.00990910316128723
"Spic"	1.19881874202263	0.216583172962529	9.46326015738021	0.00209628166542478	0.0468157071756046
"Tcf7"	1.19808823982056	1.20659040383174	9.8656926210515	0.00168389272834589	0.0411383890815463
"Fmn1"	1.18565400218984	0.0902978611412322	9.35224865872422	0.00222712048669235	0.0484316661170997
"Nlgn2"	1.17711722784599	-0.146762340172748	10.1482186146473	0.00144440751760584	0.0371845520669883
"Hmox1"	1.16906714289777	2.67136869482304	9.37579760699962	0.00219869017077869	0.0482355645721723
"Lad1"	1.16134440319614	0.493374872731924	12.0045096588434	0.000530719727346384	0.0192897822882877
"Dnph1"	1.13862644416351	-0.681878725618342	11.725425982082	0.000616519350317572	0.0212614021253165
"Ahrr"	1.13470263187953	2.47036807407633	42.1215618602365	8.57722317671504e-11	6.69237838363191e-08
"Tbc1d4"	1.13368514940499	3.22487553541368	14.5226320033803	0.000138485794508116	0.00778145306546519
"Tctex1d4"	1.12920911083828	-0.235782541135906	11.0289893073014	0.000896980385583853	0.0272393526904489
"Lpl"	1.11859953591838	2.26728398342188	11.0791419125312	0.00087304191428211	0.0268097567808037
"Lyz2"	1.11064130938584	4.03241440947444	11.552671081549	0.000676519953680444	0.0225115411597825
"Lgals3"	1.11016336284444	4.23721683791868	10.4658544035553	0.00121601293097577	0.0333055489880348
"Plxna1"	1.08384391781105	2.24289973759029	11.5002612456564	0.000695864088629359	0.02292128570567
"Txlnb"	1.08287347025788	-0.232168759661185	11.228574329952	0.000805474954863363	0.0257786997389022
"Spp1"	1.08144764230852	0.474382656474342	10.5974500792559	0.00113243732439172	0.0317693203543961
"Fabp5"	1.06785251754239	2.31139638959271	21.5479572417301	3.4509006321215e-06	0.000470536991654851
"Socs2"	1.0646468306488	1.30803565546852	12.8989260893786	0.000328770719096055	0.0141043768288493
"Arc"	1.05457227856783	1.49759778281327	23.4909769349147	1.25500974906305e-06	0.000223848643746386
"Nrgn"	1.03558702562197	1.88957043660021	25.4818838517116	4.46556383775325e-07	9.95501766973421e-05
"Axl"	1.03475541243113	4.01618921093748	24.3734155750306	7.93562654576114e-07	0.000165113936328803
"Tmem151b"	1.03455742978184	0.376892712966124	12.8372725357361	0.000339782533823389	0.0143612868403862
"2900026A02Rik"	1.03053173944609	3.06885888813215	28.4485395839552	9.62223221733322e-08	2.79358016281832e-05
"Fscn1"	1.03013881381738	2.41004227646305	10.9417368270322	0.000940219911615641	0.0280806348722719
"Chga"	1.01475202267777	0.297837653466649	9.97448164433857	0.00158724674379175	0.0394811826267398
"Spire1"	1.01363255536989	0.405362001183319	15.5165569467511	8.17857551229724e-05	0.0053177779528916
"Ajuba"	1.0099598769668	0.503819518818838	13.7190415302952	0.000212291179814299	0.0104199319073307
"Spry2"	1.00836144105115	1.25476931726057	17.7166637534818	2.56370908319361e-05	0.00206486091577994
"Pafah2"	0.992040227128347	-0.0665022159175831	9.35082853196056	0.00222884686054436	0.0484316661170997
"Kifc3"	0.990977691583064	0.668922069707411	11.5452374127668	0.000679230261950287	0.0225115411597825
"Nav1"	0.958183588115681	0.717835031449853	9.90271095976663	0.00165035476502467	0.0404774634313714
"Atp11a"	0.949449202352986	0.77217394757758	10.1719987639734	0.00142589612751477	0.0368548390391188
